Game,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Magnetica,2006,Puzzle,Nintendo,0.08,0.01,0.03,0.01,0.14
Mahjong Cub3D,2011,Puzzle,Sunsoft,0.07,0.0,0.02,0.0,0.09
Majesty 2: The Fantasy Kingdom Sim,2009,Simulation,Paradox Interactive,0.01,0.0,0.0,0.0,0.02
Majin and the Forsaken Kingdom,2010,Adventure,Namco Bandai Games,0.23,0.16,0.01,0.060000000000000005,0.48
Major League Baseball 2K10,2010,Sports,Take-Two Interactive,0.64,0.0,0.0,0.05,0.7
Major League Baseball 2K11,2011,Sports,Take-Two Interactive,0.61,0.06999999999999999,0.0,0.06,0.73
Major League Baseball 2K12,2012,Sports,Take-Two Interactive,0.6499999999999999,0.0,0.0,0.05,0.69
Major League Baseball 2K5,2005,Sports,Take-Two Interactive,1.24,0.5800000000000001,0.0,0.21,2.04
Major League Baseball 2K6,2006,Sports,Spike,0.71,0.01,0.0,0.09,0.81
Major League Baseball 2K6,2006,Sports,Take-Two Interactive,0.24,0.07,0.0,0.01,0.33
Major League Baseball 2K7,2007,Sports,Spike,0.9,0.0,0.0,0.08,0.97
Major League Baseball 2K8,2008,Sports,Bethesda Softworks,0.8400000000000001,0.0,0.0,0.08,0.9199999999999999
Major League Baseball 2K8 Fantasy All-Stars,2008,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12
Major League Baseball 2K9,2009,Sports,Spike,0.7200000000000001,0.0,0.0,0.060000000000000005,0.78
Major League Baseball 2K9,2009,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26
Makai Kingdom: Chronicles of the Sacred Tome,2005,Role-Playing,Tecmo Koei,0.06,0.05,0.0,0.02,0.12
Mana Khemia 2: Fall of Alchemy,2008,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2
Mana Khemia: Alchemists of Al-Revis,2007,Role-Playing,Nippon Ichi Software,0.03,0.02,0.0,0.01,0.06
Mana Khemia: Student Alliance,2008,Role-Playing,Nippon Ichi Software,0.06,0.0,0.03,0.01,0.1
Manhunt,2003,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28
Manhunt,2004,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19
Manhunt 2,2007,Action,Take-Two Interactive,0.56,0.61,0.0,0.22,1.4000000000000001
Marble Saga: Kororinpa,2009,Puzzle,Konami Digital Entertainment,0.09,0.05,0.0,0.01,0.16
Marc Ecko's Getting Up: Contents Under Pressure,2006,Action,Atari,0.03,0.02,0.0,0.01,0.05
March of the Penguins,2006,Adventure,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.05
Mario Golf: Advance Tour,2004,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45
Mario Golf: Toadstool Tour,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
Mario Golf: World Tour,2014,Sports,Nintendo,0.15,0.13,0.17,0.03,0.48
Mario Hoops 3 on 3,2006,Sports,Nintendo,0.98,0.04,0.49,0.09,1.6
Mario Kart 7,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66
Mario Kart 8,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09
Mario Kart DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21
Mario Kart Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52
Mario Kart: Super Circuit,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
Mario Party 10,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58
Mario Party 4,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47
Mario Party 5,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
Mario Party 6,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65
Mario Party 7,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57
Mario Party 8,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27
Mario Party 9,2012,Misc,Nintendo,1.06,1.09,0.76,0.22,3.13
Mario Party Advance,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98
Mario Party DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91
Mario Party: Island Tour,2013,Misc,Nintendo,0.62,0.64,0.55,0.11,1.92
Mario Party: Star Rush,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3
Mario Pinball Land,2004,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69
Mario Power Tennis,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
Mario Sports Mix,2010,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08
Mario Strikers Charged,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58
Mario Super Sluggers,2008,Sports,Nintendo,1.48,0.0,0.29,0.12,1.89
Mario Superstar Baseball,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
Mario Tennis Open,2012,Sports,Nintendo,0.26,0.29,0.34,0.05,0.95
Mario Tennis Ultra Smash,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44
Mario Tennis: Power Tour,2005,Sports,Nintendo,0.24,0.09,0.19,0.01,0.52
Mario vs. Donkey Kong,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17
Mario vs. Donkey Kong 2: March of the Minis,2006,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67
Mario vs. Donkey Kong: Tipping Stars,2015,Puzzle,Nintendo,0.0,0.0,0.06999999999999999,0.0,0.06999999999999999
Mark McMorris Infinite Air,2016,Sports,FuRyu Corporation,0.01,0.0,0.0,0.0,0.02
Martian Gothic: Unification,2001,Adventure,Take-Two Interactive,0.06,0.04,0.0,0.01,0.11
Marvel Avengers: Battle for Earth,2012,Action,Ubisoft,0.08,0.04,0.0,0.01,0.13999999999999999
Marvel Nemesis: Rise of the Imperfects,2005,Fighting,Electronic Arts,1.52,0.16,0.0,0.15,1.83
Marvel Super Hero Squad,2009,Fighting,THQ,0.6599999999999999,0.05,0.0,0.06,0.77
Marvel Super Hero Squad: The Infinity Gauntlet,2010,Action,THQ,0.12,0.02,0.0,0.01,0.15
Marvel Trading Card Game,2007,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.12
Marvel vs. Capcom 3: Fate of Two Worlds,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34
Marvel: Ultimate Alliance,2006,Role-Playing,Activision,4.01,0.07,0.0,0.39,4.4799999999999995
Marvel: Ultimate Alliance 2,2009,Role-Playing,Activision,1.58,0.38,0.0,0.22,2.15
Mass Effect,2007,Role-Playing,Microsoft Game Studios,1.83,0.79,0.03,0.27,2.91
Mass Effect,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67
Mass Effect 2,2010,Role-Playing,Electronic Arts,2.0,1.1300000000000001,0.03,0.33,3.49
Mass Effect 2,2011,Role-Playing,Electronic Arts,0.78,0.45,0.03,0.19,1.45
Mass Effect 3,2012,Role-Playing,Electronic Arts,2.9699999999999998,1.84,0.06,0.56,5.43
Mat Hoffman's Pro BMX,2001,Sports,Activision,0.3,0.2,0.0,0.04,0.54
Mat Hoffman's Pro BMX 2,2002,Sports,Activision,0.23,0.18,0.0,0.06,0.46
Max Payne,2001,Shooter,Take-Two Interactive,2.9699999999999998,1.26,0.05,0.27,4.55
Max Payne,2003,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03
Max Payne 2: The Fall of Max Payne,2003,Shooter,Take-Two Interactive,1.12,0.68,0.0,0.19,2.0100000000000002
Max Payne 3,2012,Shooter,Take-Two Interactive,1.6099999999999999,1.73,0.06999999999999999,0.48,3.9000000000000004
Maximo vs Army of Zin,2003,Platform,Capcom,0.1,0.08,0.0,0.03,0.21
Maximo: Ghosts to Glory,2001,Platform,Capcom,0.38,0.29,0.0,0.1,0.77
Maximum Capacity: Hotel Giant,2002,Strategy,JoWood Productions,0.0,0.02,0.0,0.0,0.02
Mayhem 3D,2011,Racing,Evolved Games,0.06,0.0,0.0,0.0,0.07
MechAssault,2002,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13
MechAssault 2: Lone Wolf,2004,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36
MechAssault: Phantom War,2006,Simulation,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03
Medabots: Infinity,2003,Role-Playing,Ubisoft,0.04,0.01,0.0,0.0,0.05
Medal of Honor,1998,Shooter,Electronic Arts,1.44,1.09,0.0,0.14,2.67
Medal of Honor,2010,Shooter,Electronic Arts,3.04,2.0700000000000003,0.11000000000000001,0.69,5.91
Medal of Honor European Assault,2005,Shooter,Electronic Arts,0.51,0.24,0.0,0.03,0.78
Medal of Honor Heroes,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
Medal of Honor Heroes 2,2007,Shooter,Electronic Arts,0.8300000000000001,0.43,0.03,0.28,1.5599999999999998
Medal of Honor: Airborne,2007,Shooter,Electronic Arts,0.7,1.25,0.04,0.38,2.36
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,4.390000000000001,3.3,0.17,1.07,8.91
Medal of Honor: Infiltrator,2003,Shooter,Electronic Arts,0.11,0.04,0.0,0.0,0.15
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,3.07,2.68,0.13,0.8600000000000001,6.72
Medal of Honor: Underground,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
Medal of Honor: Underground,2002,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.08
Medal of Honor: Vanguard,2007,Shooter,Electronic Arts,0.06,0.03,0.03,0.01,0.12
Medal of Honor: Warfighter,2012,Action,Electronic Arts,1.21,1.22,0.06999999999999999,0.4,2.8899999999999997
MediEvil: Resurrection,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.81
Medieval II: Total War,2006,Strategy,Sega,0.0,0.08,0.0,0.02,0.1
Medieval Moves: Deadmund's Quest,2011,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28
Mega Man Anniversary Collection,2004,Platform,Capcom,0.61,0.3,0.0,0.09,1.01
Mega Man Anniversary Collection,2005,Platform,Capcom,0.1,0.03,0.0,0.0,0.13
Mega Man Battle Chip Challenge,2003,Misc,Capcom,0.08,0.03,0.0,0.0,0.11
Mega Man Battle Network,2001,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42
Mega Man Battle Network 2,2002,Action,Ubisoft,0.22,0.08,0.0,0.01,0.31
Mega Man Legacy Collection,2016,Platform,Capcom,0.21000000000000002,0.0,0.05,0.04,0.29
Mega Man Legends 2,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42
Mega Man Maverick Hunter X,2005,Platform,Capcom,0.27,0.01,0.0,0.03,0.31
Mega Man Network Transmission,2003,Platform,Capcom,0.13,0.03,0.0,0.0,0.17
Mega Man Powered Up,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14
Mega Man X Collection,2006,Misc,Capcom,0.1,0.03,0.0,0.0,0.13
Mega Man X5,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75
Mega Man X6,2001,Action,Capcom,0.14,0.1,0.16,0.03,0.42
Mega Man X7,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58
Mega Man X8,2004,Platform,Capcom,0.14,0.11,0.0,0.04,0.29
Mega Man X: Command Mission,2004,Role-Playing,Capcom,0.19,0.09000000000000001,0.0,0.02,0.3
Mega Man ZX,2006,Platform,Capcom,0.16,0.0,0.1,0.02,0.28
Mega Man ZX Advent,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33
Mega Man Zero,2002,Platform,Capcom,0.22,0.08,0.24,0.01,0.55
Mega Man Zero 2,2003,Platform,Capcom,0.18,0.07,0.17,0.01,0.43
Mega Man Zero 3,2004,Platform,Capcom,0.16,0.06,0.0,0.0,0.22
Mega Man Zero 4,2005,Platform,Capcom,0.08,0.03,0.0,0.0,0.11
Mega Man Zero Collection,2010,Platform,Capcom,0.17,0.01,0.11,0.02,0.31
Megamind: Ultimate Showdown,2010,Action,THQ,0.14,0.09,0.0,0.03,0.27
Men in Black II: Alien Escape,2002,Shooter,Infogrames,0.24,0.19,0.0,0.06,0.5
Men of Valor,2004,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25
Men of War,2009,Strategy,505 Games,0.01,0.02,0.0,0.0,0.03
Men of War: Assault Squad,2011,Strategy,1C Company,0.01,0.03,0.0,0.01,0.05
Men of War: Vietnam,2011,Strategy,Unknown,0.0,0.03,0.0,0.01,0.04
Mercenaries 2: World in Flames,2008,Shooter,Electronic Arts,1.15,0.69,0.030000000000000002,0.43000000000000005,2.31
Mercury Meltdown,2006,Action,Atari,0.05,0.0,0.0,0.01,0.06
Mercury Meltdown Revolution,2007,Action,Ignition Entertainment,0.16,0.0,0.0,0.01,0.17
Metal Arms: Glitch in the System,2003,Shooter,Vivendi Games,0.38,0.19,0.0,0.05,0.62
Metal Dungeon,2002,Role-Playing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03
Metal Gear Rising: Revengeance,2013,Action,Konami Digital Entertainment,0.75,0.51,0.44,0.2,1.9
Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Metal Gear Solid 2: Substance,2002,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
Metal Gear Solid 3: Subsistence,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99
Metal Gear Solid V: Ground Zeroes,2014,Action,Konami Digital Entertainment,0.74,0.71,0.44000000000000006,0.25,2.16
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,1.5,1.6900000000000002,0.5,0.55,4.24
Metal Gear Solid: Digital Graphic Novel,2006,Misc,Konami Digital Entertainment,0.02,0.0,0.02,0.0,0.04
Metal Gear Solid: Peace Walker,2010,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06
Metal Gear Solid: Portable Ops,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.08,1.18
Metal Gear Solid: Portable Ops Plus,2007,Action,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69
Metal Gear Solid: Snake Eater 3D,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38
Metal Gear Solid: The Legacy Collection,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4
Metal Gear Solid: The Twin Snakes,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
Metal Saga,2005,Role-Playing,Success,0.01,0.01,0.0,0.0,0.03
Metal Slug 3,2004,Shooter,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1
Metal Slug 7,2008,Shooter,Ignition Entertainment,0.12,0.0,0.01,0.01,0.14
Metal Slug Advance,2004,Shooter,Ignition Entertainment,0.06,0.02,0.0,0.0,0.08
Metal Slug Anthology,2006,Shooter,Ignition Entertainment,0.12,0.01,0.0,0.01,0.14
Metal Slug Anthology,2007,Shooter,Ignition Entertainment,0.02,0.0,0.03,0.01,0.060000000000000005
Metal Slug X,2001,Shooter,Virgin Interactive,0.05,0.03,0.0,0.01,0.09
Metal Slug XX,2009,Shooter,DHM Interactive,0.03,0.0,0.0,0.0,0.04
Meteos,2005,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23
Meteos: Disney Magic,2007,Puzzle,Disney Interactive Studios,0.01,0.02,0.0,0.0,0.04
Metro 2033,2010,Shooter,THQ,0.22,0.42000000000000004,0.03,0.1,0.78
Metro: Last Light,2013,Action,Deep Silver,0.37,0.44,0.03,0.12000000000000001,0.96
Metroid Fusion,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68
Metroid Prime,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
Metroid Prime 2: Echoes,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
Metroid Prime 3: Corruption,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79
Metroid Prime Hunters,2006,Shooter,Nintendo,0.57,0.04,0.11,0.06,0.76
Metroid Prime Pinball,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.25
Metroid Prime: Federation Force,2016,Action,Nintendo,0.02,0.01,0.01,0.0,0.05
Metroid Prime: Trilogy,2009,Shooter,Nintendo,0.42,0.05,0.0,0.14,0.61
Metroid: Other M,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34
Metroid: Zero Mission,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84
MetropolisMania,2001,Strategy,Natsume,0.04,0.03,0.0,0.01,0.09
Miami Law,2009,Adventure,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1
Miami Nights: Singles in the City,2008,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08
Miami Vice: The Game,2006,Shooter,Activision,0.06,0.0,0.0,0.0,0.06
Michael Jackson: The Experience,2010,Misc,Ubisoft,2.85,1.35,0.01,0.41000000000000003,4.61
Michael Jackson: The Experience,2011,Misc,Ubisoft,0.91,0.4,0.0,0.17,1.48
Michael Phelps: Push the Limit,2011,Sports,505 Games,0.09,0.01,0.0,0.01,0.11
Micro Machines V4,2006,Racing,Codemasters,0.01,0.0,0.0,0.0,0.01
Microsoft Flight Simulator 2004: A Century of Flight,2003,Simulation,Microsoft Game Studios,0.0,0.06,0.0,0.01,0.07
Microsoft Flight Simulator X,2006,Simulation,Microsoft Game Studios,0.02,0.36,0.0,0.05,0.43
Microsoft Train Simulator,2001,Simulation,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05
Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1.8599999999999999,2.13,0.060000000000000005,0.62,4.66
Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,2.26,1.31,0.0,0.8200000000000001,4.39
Midnight Club 3: DUB Edition Remix,2006,Racing,Take-Two Interactive,1.1199999999999999,0.08,0.0,0.17,1.3599999999999999
Midnight Club II,2003,Racing,Take-Two Interactive,1.67,0.35,0.0,0.26,2.2800000000000002
Midnight Club: LA Remix,2008,Racing,Take-Two Interactive,0.52,0.27,0.0,0.19,0.98
Midnight Club: Los Angeles,2008,Racing,Take-Two Interactive,3.24,0.98,0.060000000000000005,0.52,4.800000000000001
Midnight Club: Street Racing,2000,Racing,Take-Two Interactive,2.0,0.47,0.02,0.14,2.63
Midnight Club: Street Racing,2001,Racing,Rebellion,0.34,0.13,0.0,0.01,0.48
Midtown Madness 3,2003,Racing,Microsoft Game Studios,0.23,0.07,0.0,0.01,0.3
Midway Arcade Treasures,2003,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17
Midway Arcade Treasures 2,2004,Misc,Midway Games,0.24,0.05,0.0,0.01,0.31
Midway Arcade Treasures: Extended Play,2005,Misc,Midway Games,0.21,0.0,0.0,0.02,0.24
Mighty No. 9,2016,Platform,Deep Silver,0.08,0.01,0.0,0.01,0.1
Mimana Iyar Chronicle,2009,Role-Playing,GungHo,0.07,0.0,0.01,0.01,0.09
Mind Zero,2013,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1
MindJack,2011,Shooter,Square Enix,0.14,0.09000000000000001,0.0,0.04,0.27
Mini Ninjas,2009,Action,Eidos Interactive,0.5800000000000001,0.62,0.0,0.16999999999999998,1.36
Minority Report: Everybody Runs,2002,Action,Activision,0.27,0.16999999999999998,0.0,0.05,0.51
Mirror's Edge,2008,Platform,Electronic Arts,0.8200000000000001,1.0899999999999999,0.03,0.35,2.29
Mirror's Edge,2009,Platform,Electronic Arts,0.0,0.05,0.0,0.01,0.06
Mirror's Edge Catalyst,2016,Platform,Electronic Arts,0.21,0.27,0.02,0.060000000000000005,0.57
Mission: Impossible - Operation Surma,2003,Platform,Atari,0.24000000000000002,0.14,0.0,0.04,0.41000000000000003
Mister Mosquito,2001,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28
Mobile Suit Gundam Seed: Never Ending Tomorrow,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06
Mobile Suit Gundam: Crossfire,2006,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2
Mobile Suit Gundam: Encounters in Space,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72
Mobile Suit Gundam: Extreme VS Force,2015,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17
Mobile Suit Gundam: Federation vs. Zeon,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14
Mobile Suit Gundam: Gundam vs. Zeta Gundam,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06
Mobile Suit Gundam: Journey to Jaburo,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7
Mobile Suit Gundam: Zeonic Front,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43
ModNation Racers,2010,Racing,Sony Computer Entertainment,0.61,0.66,0.08,0.30000000000000004,1.6500000000000001
Modnation Racers: Road Trip,2012,Racing,Sony Computer Entertainment,0.15,0.09,0.0,0.04,0.29
Monopoly,2008,Misc,Electronic Arts,1.45,1.08,0.0,0.3,2.82
Monopoly Streets,2010,Misc,Electronic Arts,0.55,0.6799999999999999,0.0,0.16,1.3900000000000001
Monster 4X4: World Circuit,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88
Monster 4x4: Masters of Metal,2003,Racing,Ubisoft,0.14,0.11,0.0,0.04,0.28
Monster House,2006,Adventure,THQ,0.06,0.02,0.0,0.0,0.09
Monster Hunter,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5
Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89
Monster Hunter Freedom,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34
Monster Hunter Freedom 2,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48
Monster Hunter Tri,2009,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22
Monster Jam,2007,Racing,Activision,0.18,0.0,0.0,0.02,0.2
Monster Jam: Maximum Destruction,2002,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65
Monster Kingdom: Jewel Summoner,2006,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04
Monster Lab,2008,Role-Playing,Eidos Interactive,0.27,0.02,0.0,0.02,0.31
Monster Madness: Battle for Suburbia,2007,Shooter,SouthPeak Games,0.1,0.0,0.0,0.01,0.11
Monster Racers,2009,Racing,Tecmo Koei,0.05,0.0,0.02,0.0,0.07
Monster Rancher,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
Monster Rancher 3,2001,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.36
Monster Rancher 4,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34
Monster Rancher Advance 2,2002,Simulation,Tecmo Koei,0.01,0.0,0.0,0.0,0.01
Monster Rancher EVO,2005,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1
Monster Tale,2011,Platform,Majesco Entertainment,0.06,0.0,0.0,0.0,0.06
Monsters vs. Aliens,2009,Action,Activision,0.33999999999999997,0.09,0.0,0.05,0.5
"Monsters, Inc.",2002,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.32
"Monsters, Inc. Scream Arena",2002,Platform,THQ,0.29,0.07,0.0,0.01,0.37
"Monsters, Inc. Scream Team",2001,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56
Moon,2009,Adventure,Mastiff,0.04,0.0,0.0,0.0,0.05
MorphX,2010,Shooter,505 Games,0.05,0.0,0.0,0.0,0.05
Mortal Kombat,2011,Fighting,Warner Bros. Interactive Entertainment,3.61,0.8400000000000001,0.0,0.5,4.9399999999999995
Mortal Kombat,2012,Fighting,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,0.65
Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,2.54,1.05,0.0,0.62,4.21
Mortal Kombat vs. DC Universe,2008,Fighting,Midway Games,3.01,0.51,0.0,0.39,3.9299999999999997
Mortal Kombat: Armageddon,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06
Mortal Kombat: Armageddon,2007,Fighting,Midway Games,0.19,0.02,0.0,0.02,0.23
Mortal Kombat: Deadly Alliance,2002,Fighting,Midway Games,2.9,0.75,0.0,0.19999999999999998,3.87
Mortal Kombat: Deception,2004,Fighting,Midway Games,1.53,0.84,0.0,0.27,2.6399999999999997
Mortal Kombat: Deception,2005,Fighting,Midway Games,0.09,0.02,0.0,0.0,0.11
Mortal Kombat: Shaolin Monks,2005,Action,Midway Games,0.8099999999999999,0.09000000000000001,0.0,0.09999999999999999,1.0
Mortal Kombat: Special Forces,2000,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21
Mortal Kombat: Tournament Edition,2003,Fighting,Midway Games,0.01,0.0,0.0,0.0,0.01
Mortal Kombat: Unchained,2006,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74
MotionSports,2010,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69
MotionSports: Adrenaline,2011,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27
MotoGP,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27
MotoGP,2002,Racing,THQ,0.07,0.02,0.0,0.0,0.09
MotoGP,2006,Racing,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03
MotoGP,2009,Racing,Capcom,0.05,0.11,0.0,0.02,0.18
MotoGP '06,2006,Racing,THQ,0.11,0.01,0.0,0.01,0.14
MotoGP '07,2007,Racing,Capcom,0.05,0.04,0.0,0.01,0.1
MotoGP '07,2007,Racing,THQ,0.23,0.0,0.0,0.02,0.25
MotoGP 08,2008,Racing,Capcom,0.18,0.44,0.0,0.12,0.74
MotoGP 09/10,2010,Racing,Capcom,0.12000000000000001,0.22,0.0,0.06,0.39
MotoGP 10/11,2011,Racing,Capcom,0.04,0.1,0.0,0.03,0.17
MotoGP 14 ,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18
MotoGP 2,2003,Racing,THQ,0.07,0.02,0.0,0.0,0.1
Motocross Mania,2001,Racing,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79
Motocross Mania 3,2005,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,0.02
MotorStorm,2006,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87
MotorStorm RC,2012,Racing,Sony Computer Entertainment,0.0,0.04,0.0,0.01,0.06
MotorStorm: Apocalypse,2011,Racing,Sony Computer Entertainment,0.21,0.19,0.0,0.08,0.48
MotorStorm: Arctic Edge,2009,Racing,Sony Computer Entertainment,0.23,0.6,0.0,0.54,1.36
MotorStorm: Pacific Rift,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35
Mr. Driller: Drill Spirits,2004,Puzzle,Nintendo,0.08,0.0,0.05,0.01,0.14
Ms Saga: A New Dawn,2005,Role-Playing,Namco Bandai Games,0.02,0.02,0.0,0.01,0.05
